service_id,service_category
1,add cameras near bike docks
2,add docks
3,build drinking fountains
4,build separate bike lanes
5,build new bike lanes
6,plant greenery
7,add traffic light
8,add sensors on bike traffic light
9,build contra-flow bike lanes
10,add bike parking area
11,add clear signage at the beginning of bike lane
12,add left-turn-only sign
13,add clear signage on bike lane
14,add clear signage on traffic light
15,add clear signage at intersection
16,add clear guide sign beside roads
17,build underpass
18,raise pavement to footpath level
19,rearrange bike traffic light
20,extend bike lane as continuous lane
21,set restricted car lane
22,build fast and slow bike lanes
23,set restricted car parking area
24,widen car lane
25,widen shared path
26,widen bike lane
27,revamp bike lane
28,make bike docks end to end
29,restrict car driving direction
30,ban parking 
31,force cyclists dismount
32,educate drivers
33,provide subsidy to cyclist
34,reinstate the bike lane once the construction is complete
35,ban cars
